No;İsmi;Üniversite adı;Üniversite statüsü (Devlet, Vakıf, Özel);Enlem koordinatı;Boylam koordinatı;Alanı (m2);İçinde yer alan birimler;Açık adresi
155;THKU;Türk Hava Kurumu Üniversitesi;Vakıf;"37° 56´ 56""N";"27° 22´ 11""E";28.241,87;İşletme Fakültesi;Atatürk, Kızılay Cd., 35920 Selçuk/İzmir
156;THKU;Türk Hava Kurumu Üniversitesi;Vakıf;"37° 56´ 56""N";"27° 22´ 11""E";28.241,87;Havacılık Ve Uzay Bilimleri Fakültesi;Atatürk, Kızılay Cd., 35920 Selçuk/İzmir
157;THKU;Türk Hava Kurumu Üniversitesi;Vakıf;"37° 56´ 56""N";"27° 22´ 11""E";28.241,87;Mühendislik Fakültesi;Atatürk, Kızılay Cd., 35920 Selçuk/İzmir
158;THKU;Türk Hava Kurumu Üniversitesi;Vakıf;"37° 56´ 56""N";"27° 22´ 11""E";28.241,87;İngilizce Hazırlık;Atatürk, Kızılay Cd., 35920 Selçuk/İzmir
159;İEÜ;İzmir Ekonomi Üniversitesi;Vakıf;38.38784;27.04449;260.665 m2;İşletme Fakültesi;Fevzi Çakmak, Sakarya Cd. No:156, 35330 Balçova/İzmir
160;İEÜ;İzmir Ekonomi Üniversitesi;Vakıf;38.38784;27.04449;260.665 m2;Mühendislik Fakültesi;Fevzi Çakmak, Sakarya Cd. No:156, 35330 Balçova/İzmir
161;İEÜ;İzmir Ekonomi Üniversitesi;Vakıf;38.38784;27.04449;260.665 m2;Fen Edebiyat Fakültesi;Fevzi Çakmak, Sakarya Cd. No:156, 35330 Balçova/İzmir
162;İEÜ;İzmir Ekonomi Üniversitesi;Vakıf;38.38935;27.04395;260.665 m2;Güzel Sanatlar ve Tasarım Fakültesi;Fevzi Çakmak, Bora Sk., 35330 Balçova/İzmir
163;İEÜ;İzmir Ekonomi Üniversitesi;Vakıf;38.38781;27.04462;260.665 m2;İletişim Fakültesi;Teleferik, Sakarya Cd. No:135, 35330 Balçova/İzmir
164;İEÜ;İzmir Ekonomi Üniversitesi;Vakıf;38.38784;27.04449;260.665 m2;Hukuk Fakültesi;Fevzi Çakmak, Sakarya Cd. No:156, 35330 Balçova/İzmir
165;İEÜ;İzmir Ekonomi Üniversitesi;Vakıf;38.38784;27.04449;260.665 m2;Sağlık Bilimleri Fakültesi;Fevzi Çakmak, Sakarya Cd. No:156, 35330 Balçova/İzmir
166;İEÜ;İzmir Ekonomi Üniversitesi;Vakıf;38.38784;27.04449;260.665 m2;Tıp Fakültesi;Fevzi Çakmak, Sakarya Cd. No:156, 35330 Balçova/İzmir
167;İEÜ;İzmir Ekonomi Üniversitesi;Vakıf;38.38784;27.04449;260.665 m2;Uygulamalı Yönetim Bilimleri Yüksek Okulu;Fevzi Çakmak, Sakarya Cd. No:156, 35330 Balçova/İzmir
168;MSÜ;Milli Savunma Üniversitesi;Devlet;38.38124;26.92901;2.192.087 m2;Kara Harp Okulu Maltepe Yerleşkesi Komutanlığı;Maltepe, 12. Sk., 35310 Güzelbahçe/İzmir
169;İB;İzmir Bakırçay Üniversitesi;Devlet;"38°34'55""N";"26°57'49""E";71.728,35 m²;Eczacılık Fakültesi;Gazi Mustafa Kemal Mahallesi, Kaynaklar Caddesi Seyrek, Menemen, İzmir
170;İB;İzmir Bakırçay Üniversitesi;Devlet;"38°34'55""N";"26°57'49""E";71.728,35 m131;Hukuk Fakültesi;Gazi Mustafa Kemal Mahallesi, Kaynaklar Caddesi Seyrek, Menemen, İzmir
171;İB;İzmir Bakırçay Üniversitesi;Devlet;"38°34'55""N";"26°57'49""E";71.728,35 m132;İktisadi ve İdari Bilimler Fakültesi;Gazi Mustafa Kemal Mahallesi, Kaynaklar Caddesi Seyrek, Menemen, İzmir
172;İB;İzmir Bakırçay Üniversitesi;Devlet;"38°34'55""N";"26°57'49""E";71.728,35 m133;İnsan ve Toplum Bilimleri Fakültesi;Gazi Mustafa Kemal Mahallesi, Kaynaklar Caddesi Seyrek, Menemen, İzmir
173;İB;İzmir Bakırçay Üniversitesi;Devlet;"38°34'55""N";"26°57'49""E";71.728,35 m134;Mühendislik ve Mimarlık Fakültesi;Gazi Mustafa Kemal Mahallesi, Kaynaklar Caddesi Seyrek, Menemen, İzmir
174;İB;İzmir Bakırçay Üniversitesi;Devlet;"38°34'55""N";"26°57'49""E";71.728,35 m135;Sağlık Bilimleri Fakültesi;Gazi Mustafa Kemal Mahallesi, Kaynaklar Caddesi Seyrek, Menemen, İzmir
175;İB;İzmir Bakırçay Üniversitesi;Devlet;"38°34'55""N";"26°57'49""E";71.728,35 m136;Tıp Fakültesi;Gazi Mustafa Kemal Mahallesi, Kaynaklar Caddesi Seyrek, Menemen, İzmir
176;İB;İzmir Bakırçay Üniversitesi;Devlet;"38°34'55""N";"26°57'49""E";71.728,35 m137;Yabancı Diller Yüksekokulu;Gazi Mustafa Kemal Mahallesi, Kaynaklar Caddesi Seyrek, Menemen, İzmir
177;İB;İzmir Bakırçay Üniversitesi;Devlet;"38°34'55""N";"26°57'49""E";71.728,35 m138;Adalet Meslek Yüksekokulu;Gazi Mustafa Kemal Mahallesi, Kaynaklar Caddesi Seyrek, Menemen, İzmir
178;İB;İzmir Bakırçay Üniversitesi;Devlet;"38°34'55""N";"26°57'49""E";71.728,35 m139;Menemen Meslek Yüksekokulu;Gazi Mustafa Kemal Mahallesi, Kaynaklar Caddesi Seyrek, Menemen, İzmir
179;İB;İzmir Bakırçay Üniversitesi;Devlet;"38°34'55""N";"26°57'49""E";71.728,35 m140;Kınık Meslek Yüksekokulu;Gazi Mustafa Kemal Mahallesi, Kaynaklar Caddesi Seyrek, Menemen, İzmir
180;İDÜ;İzmir Demokrasi Üniversitesi;Devlet;"38°23'48""N";"27°04'38""E";1.836,36 m²;Diş Hekimliği Fakültesi;Mehmet Ali Akman Mahallesi, 13. Sokak No:2 Güzelyalı Konak /İZMİR
181;İDÜ;İzmir Demokrasi Üniversitesi;Devlet;"38°23'36""N";"27°04'25""E";3.515,72 m²;Eğitim Fakültesi;Üçkuyular Mahallesi, Gürsel Aksel Bulvarı, No:14 35140 Karabağlar/İZMİR
182;İDÜ;İzmir Demokrasi Üniversitesi;Devlet;"38°23'36""N";"27°04'25""E";3.515,72 m131;Fen Edebiyat Fakültesi;Üçkuyular Mahallesi, Gürsel Aksel Bulvarı, No:14 35140 Karabağlar/İZMİR
183;İDÜ;İzmir Demokrasi Üniversitesi;Devlet;"38°23'36""N";"27°04'25""E";3.515,72 m132;Güzel sanatlar Fakültesi;Üçkuyular Mahallesi, Gürsel Aksel Bulvarı, No:14 35140 Karabağlar/İZMİR
184;İDÜ;İzmir Demokrasi Üniversitesi;Devlet;"38°23'36""N";"27°04'25""E";3.515,72 m133;Hukuk Fakültesi;Üçkuyular Mahallesi, Gürsel Aksel Bulvarı, No:14 35140 Karabağlar/İZMİR
185;İDÜ;İzmir Demokrasi Üniversitesi;Devlet;"38°23'36""N";"27°04'25""E";3.515,72 m134;İktisadi ve İdari Bilimler Fakültesi;Üçkuyular Mahallesi, Gürsel Aksel Bulvarı, No:14 35140 Karabağlar/İZMİR
186;İDÜ;İzmir Demokrasi Üniversitesi;Devlet;"38°23'36""N";"27°04'25""E";3.515,72 m135;Mimarlık Fakültesi;Üçkuyular Mahallesi, Gürsel Aksel Bulvarı, No:14 35140 Karabağlar/İZMİR
187;İDÜ;İzmir Demokrasi Üniversitesi;Devlet;"38°23'36""N";"27°04'25""E";3.515,72 m136;Mühendislik Fakültesi;Üçkuyular Mahallesi, Gürsel Aksel Bulvarı, No:14 35140 Karabağlar/İZMİR
188;İDÜ;İzmir Demokrasi Üniversitesi;Devlet;"38°23'48""N";"27°04'38""E";1.836,36 m²;Sağlık Bilimleri Fakültesi;Mehmet Ali Akman Mahallesi, 13. Sokak No:2 Güzelyalı Konak /İZMİR
189;İDÜ;İzmir Demokrasi Üniversitesi;Devlet;"38°23'48""N";"27°04'38""E";1.836,36 m²;Tıp Fakültesi;Mehmet Ali Akman Mahallesi, 13. Sokak No:2 Güzelyalı Konak /İZMİR
190;İDÜ;İzmir Demokrasi Üniversitesi;Devlet;"38°23'36""N";"27°04'25""E";3.515,72 m136;Fen Bilimleri Enstitüsü;Üçkuyular Mahallesi, Gürsel Aksel Bulvarı, No:14 35140 Karabağlar/İZMİR
191;İDÜ;İzmir Demokrasi Üniversitesi;Devlet;"38°23'36""N";"27°04'25""E";3.515,72 m136;Sağlık Bilimleri Enstitüsü;Üçkuyular Mahallesi, Gürsel Aksel Bulvarı, No:14 35140 Karabağlar/İZMİR
192;İDÜ;İzmir Demokrasi Üniversitesi;Devlet;"38°23'36""N";"27°04'25""E";3.515,72 m136;Sosyal Bilimler Enstitüsü;Üçkuyular Mahallesi, Gürsel Aksel Bulvarı, No:14 35140 Karabağlar/İZMİR
193;İDÜ;İzmir Demokrasi Üniversitesi;Devlet;"38°20'52""N";"27°05'26""E";13.674,54 m²;Yabancı Diller Yüksekokulu;Uzundere, 3962/30. Sk. No:86, 35120 Karabağlar/İzmi
194;İDÜ;İzmir Demokrasi Üniversitesi;Devlet;"38°23'36""N";"27°04'25""E";3.515,72 m136;Sağlık Hizmetleri Meslek Yüksekokulu;Üçkuyular Mahallesi, Gürsel Aksel Bulvarı, No:14 35140 Karabağlar/İZMİR
195;İDÜ;İzmir Demokrasi Üniversitesi;Devlet;"38°23'36""N";"27°04'25""E";3.515,72 m136;Meslek Yüksekokulu;Üçkuyular Mahallesi, Gürsel Aksel Bulvarı, No:14 35140 Karabağlar/İZMİR
