Yurt ismi,Statüsü,Enlem Koordinatı,Boylam Koordinatı,Açık Adres,Telefon Numarası,Kapasitesi,Minimum Ücret,Maksimum Ücret
Özel Buğdaydede Orta Öğrenim Erkek Öğrenci Yurdu,Özel Yurt,"3,810,003,573,720,970","2,772,789,305,244,510","Yeni Mah. Turgut Reis Cad. No: 15, Tire Merkez, Tire, İzmir",02325115653,108,-,-
ÖZEL BURÇ YÜKSEK ÖĞRETİM ERKEK  ÖĞRENCİ YURDU,Özel Yurt,"3,839,181","2,716,984",ADATEPE MAH. 61 SOK.  NO:8 BUCA/İZMİR,0530 569 58 29,300,-,-
Özel Cüneyt Aze,Özel Yurt,"3,821,001","2,683,425","Çolak İbrahim Bey, 93. Sk. 35460 Seferihisar/İzmir",0 232 743 44 44,45,-,-
ÖZEL ÇAĞDAŞ YÜKSEK ÖĞRETİM KIZ ÖĞRENCİ YURDU,Özel Yurt,"3,838,607","2,717,216","Dumlupınar, Barış Manço Kültür Sk. No: 13, 35400 Buca/İzmir",(0232) 440 62 48,21,-,-
ÖZEL ÇAĞLI YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU,Özel Yurt,"3,836,960","2,719,585","Kuruçeşme, Doğuş Cd. No:222, 35390 Buca/İzmir",(0232) 454 20 00,72,-,-
Özel Çakırağa Ortaöğretim Erkek Öğrencı Yurdu,Özel Yurt,"382,345,187,143,021","27,971,315,814,988,400",Bengisu Mahallesi. Hakkı Paşa Çıkmazı No:1. 35750 Ödemiş/İzmir,0232 545 18 72,48,-,-
Özel Çamlıca Ortaokul Kız Öğrenci Yurdu,Özel Yurt,"3,840,278,366,712,710","27,153,042,288,559,900","Irmak, 818. Sk. No:3, 35410 Gaziemir/İzmir",0(232) 284 06 15,71,-,-
Özel Çamlıca Ortaöğretim Erkek Öğrenci Yurdu,Özel Yurt,"38,404,202,105,116,500","27,153,424,239,013,400","Irmak Mah. 820. Sk. No:1 Pk:35410, 35410 Gaziemir",0(232) 284 03 33,120,-,-
ÖZEL ÇEŞME YÜKSEK ÖĞRETİM ERKEK ÖĞRENCİ YURDU,Özel Yurt,"3,838,105","2,717,975","Atatürk, 63/7. Sk., 35390 Buca/İzmir",0 232 420 77 97,195,-,-
Özel Çınar Erkek Ortaokul Yurdu,Özel Yurt,"38,599,501,612,681,100","2,707,626,499,278,790","İsmet İnönü, 1211/1. Sk. No: 41, 35660 Menemen/İzmir",0(232) 832 83 77,-,-,-
ÖZEL DENİZ ORTAOKUL KIZ ÖĞRENCİ YURDU,Özel Yurt,"3,836,249,031,128,170.00","27,144,691,131,843,800","GÖKSU MAH. 668/5 SOK. NO: 14 / BUCA/İZMİR
",(232) 275 76 12,78,"90,000",-
ÖZEL DENİZ ORTAÖĞRETİM KIZ ÖĞRENCİ YURDU,Özel Yurt,"3,836,319","2,714,477"," Göksu, 668/5. Sk. No: 14, 35380 Buca/İzmir",(0232) 275 76 12,72,-,-
ÖZEL DENİZHAN YÜKSEKÖĞRENİM KIZ ÖĞRENCİ YURDU,Özel Yurt,"3,839,558","2,702,535",ILICA MAH. DALYA SOK. NO: 6 A/ NARLIDERE/İZMİR,02322564900,-,-,-
ÖZEL DENİZHAN YÜKSEKÖĞRENİM KIZ ÖĞRENCİ YURDU,Özel Yurt,"3,839,258","2,702,540",ILICA MAH. DALYAN SOK. NO:6 NARLIDERE/İZMİR,2322564900,45,-,-
ÖZEL DIRAMALI YÜKSEK ÖĞRETİM ERKEK ÖĞRENCİ YURDU,Özel Yurt,"3,838,563","2,717,273"," Dumlupınar, Barış Manço Kültür Sk. No:26-28, 35678 Buca/İzmir",0532 292 08 28,46,"50,000","70,000"
"ÖZEL DİRAYET SÜREN YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	",Özel Yurt,"3,839,723","2,707,783",ESENTEPE M.74/2 SOKAK NO:5 KARABAĞLAR/İZMİR,2322481431,80,-,-
ÖZEL DİYANET ORTAÖĞRETİM ERKEK ÖĞRENCİ YURDU,Vakıf,"382,356,651,864,555","2,797,813,419,293,640",ATATÜRK MAH. SARACOĞLU SOK. NO: 74  ÖDEMİŞ/İZMİR,0232 544 05 53,-,-,-
"ÖZEL DURMUŞ AKKUŞ BİR İNCİ ORTAOKUL ERKEK ÖĞRENCİ YURDU	",Özel Yurt,"3,838,552","2,711,880","GÜNALTAY MAH. 4831 SOK. NO: 8 -16/ KARABAĞLAR/İZMİR	",(232) 264 25 45,-,-,-
"ÖZEL DURMUŞ AKKUŞ ORTA ÖĞRETİM ERKEK ÖĞRENCİ YURDU	",Özel Yurt,"3,838,283","2,711,880","GÜNALTAY MAH. 4831 SOK. NO: 8 -16/ KARABAĞLAR/İZMİR	",(232) 264 25 45,92,-,-
"ÖZEL DURMUŞ AKKUŞ ORTAOKUL ERKEK ÖĞRENCİ YURDU	",Özel Yurt,"3,837,687","2,710,599","GÜNALTAY MAH. 4831 SOK. NO: 6 / KARABAĞLAR/İZMİR	",02322642545,-,-,-
Özel Egelim Yükseköğrenim Kız Öğrenci Yurdu,Özel Yurt,"38,457,084,036,485,200","2,720,103,782,601,480",Kazım Dirik Mah. 259. Sok. No: 12 Özkanlar Bornova / İZMİR,(232) 348 84 06,-,-,-
Özel Engin Deniz Erkek Öğrenci Yurdu,Özel Yurt,38.46920901,27.22294428,"Erzene, 8. Sk. No:46, 35040 Bornova/İzmir",0(232) 339 12 12,-,-,-
"ÖZEL ENSAR VAKFI YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	",Vakıf,"3,839,862","2,711,400","KAZIM KARABEKİR MAH. 9146 SOK. NO: 14 / KARABAĞLAR/İZMİR	",(232) 232 03 07,-,-,-
ÖZEL EYLÜL YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU,Özel Yurt,"3,838,358,786,160,720","27,184,442,860,517,400","Adatepe, 3. Sk. No: 65, 35400 Buca/İzmir",05522100080,83,-,-
ÖZEL FATİH ORTAÖĞRETİM ERKEK ÖĞRENCİ YURDU,Özel Yurt,"382,269,508,208,166","27,988,806,185,596,300",Hürriyet Mh. Atatürk Cd. 35763 Ödemiş İzmir. 35763,0 232 544 87 78,-,-,-
Özel Fatma Gürler Ortaöğretim Erkek Öğrenci Yurdu,Özel Yurt,"3,849,239,732,184,140","27,108,342,951,697,800","Zübeyde Hanım, 7448/8. Sk. No:22, 35570 Karşıyaka/İzmir",02323611717,-,-,-
ÖZEL FATMA GÜRLER ORTAÖĞRETİM ERKEK ÖĞRENCİ YURDU,Özel Yurt,"3,849,236,373,239,580","27,108,117,646,612,600","Zübeyde Hanım, 7448/8. Sk. No:22, 35570 Karşıyaka/İzmir",Özel Fatma Gürler Ortaöğretim Erkek Öğrenci Yurdu,-,-,-
Özel Gaziemir Ortaokul Erkek Öğrenci Yurdu,Özel Yurt,"38,321,010,814,503,400","27,135,159,433,290,400","Atıfbey, 2. Sk. No:32, 35410 Gaziemir/İzmir",0(232) 251 19 09,52,-,-
ÖZEL GEDİZ ORTAOKUL ERKEK ÖĞRENCİ YURDU,Özel Yurt,"3,835,703,077,368,990.00","27,147,492,914,328,500","MUSTAFA KEMAL MAH. 686/17 SOK. NO: 12 /1 BUCA/İZMİR
",(507) 403 45 13,43,"55,000","65,000"
Özel Gümüşpala Ortaöğretim Erkek Öğrenci Yurdu,Özel Yurt,"3,847,130,639,438,280","27,138,642,207,490,400","Gümüşpala, 7049. Sk. No:7, 35510 Bayraklı/İzmir",02323656344,43,-,-
ÖZEL GÜNEŞ YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU,Özel Yurt,"3,838,378,338,333,000","27,184,168,547,658,700",ATATÜRK MAH. 63 SOK. NO:38/40 BUCA/İZMİR,02324407772,65,-,-
ÖZEL GÜVEN YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU,Özel Yurt,"3,838,314,557,689,060","27,182,839,077,356,500","ATATÜRK MAH. 204/4 SOK. NO:4 BUCA/İZMİR
",02324209980,47,-,-
ÖZEL GÜZELBAHÇE ORTAÖĞRETİM ERKEK ÖĞRENCİ YURDU,Özel Yurt,"3,834,177,094,433,100","2,686,795,802,498,030","	
YELKİ MAH. 2272 SOK. NO: 5 / GÜZELBAHÇE/İZMİR",-,30,0,0
"ÖZEL HACI DURMUŞ AKKUŞ ORTAOKUL ERKEK ÖĞRENCİ YURDU	",Özel Yurt,"3,837,700","2,713,460","AYDIN MAH. 4275 SOK. NO: 31 -33/1,2 KARABAĞLAR/İZMİR",(232) 254 50 55,-,-,-
ÖZEL HALİL İBRAHİM SIZLAĞ YÜKSEK ÖĞRETİM KIZ ÖĞRENCİ YURDU,Özel Yurt,"3,838,603,111,773,060","27,177,404,109,278,000","Dumlupınar, Erdem Cd., 35400 Buca/İzmir",02324205151,120,-,-
Özel Hedef Yüksek Öğrenim Ögrenci Yurdu,Özel Yurt,38.46450815,27.22668906,"Erzene, 61. Sk. No:12, 35040 Bornova/İzmir",(0232) 388 58 56,-,-,-
ÖZEL HESNA YÜKSEK ÖĞRETİM KIZ ÖĞRENCİ YURDU,Özel Yurt,"38,417,701,556,754,400","27,136,457,365,186,800",GÜZELYURT MAH.921.SOKAK NO:10 /KONAK /İZMİR,2322556616,106,-,-
ÖZEL HİLMİYE ORTAOKUL ERKEK ÖĞRENCİ YURDU,Özel Yurt,"3,826,400,352,405,050","27,132,791,510,822,300","KEMALPAŞA MAH. 154 SOK. NO: 7 /1,2,3,4,5,6 MENDERES/İZMİR",0 545 613 13 10,-,-,-
Özel Hisar Erkek Öğrenci Yurdu,Özel Yurt,38.44710864,27.2285824,"Mevlana, 1722. Sk. No:3, 35050 Bornova/İzmir",(0232) 339 13 84,-,-,-
Özel Hisar Yükseköğretim Erkek Öğrenci Yurdu,Özel Yurt,"3,844,743,269,913,980","2,722,825,702,539,610","1751/1. Sk. 2-20, Mevlana, 35050 Bornova/İzmir",0 232 339 13 84,70,-,-
"ÖZEL İSMAİL HAKKI ORTAÖĞRETİM ERKEK ÖĞRENCİ YURDU	",Özel Yurt,"3,839,873","2,711,812","SAİM ÇIKRIKÇI CAD.502,SK.NO:202 YEŞILYURT KARABAĞLAR/İZMİR",2322287460,80,-,-
"ÖZEL İZMİR AMERİKAN KOLEJİ ORTAÖĞRETİM ERKEK ÖĞRENCİ YURDU	",Özel Yurt,"3,840,192","2,709,014","POLİGON MAH. İNÖNÜ SOK. NO: 697 /1/ KARABAĞLAR/İZMİR	",(0232) 355 04 94,-,-,-
"ÖZEL İZMİR AMERİKAN KOLEJİ ORTAÖĞRETİM ERKEK ÖĞRENCİ YURDU	",Özel Yurt,"3,840,138","2,708,808","POLİGON MAH. İNÖNÜ SOK. NO: 697 /1/ KARABAĞLAR/İZMİR	",2323550490,81,-,-
ÖZEL KAAN YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU,Özel Yurt,"3,838,912,966,273,000","27,187,005,936,882,300","Adatepe, 4. Sk. No:28, 35400 Buca/İzmir",05558920101,23,-,-
ÖZEL KAHRAMAN YÜKSEK ÖĞRETİM  KIZ ÖĞRENCİ YURDU,Özel Yurt,"3,839,209,498,502,950","27,161,623,253,969,600",331.Sok. No: 82 Buca/İzmir,02324879303,60,-,-
ÖZEL KAYNAKLAR   YÜKSEK ÖĞRENİM  ERKEK ÖĞRETİM YURDU,Özel Yurt,"3,835,465,134,402,300","27,231,400,156,475,300","Zafer, 2352. Sk. No:9, 35395 Buca/İzmir",0232 443 03 64,-,-,-
Özel Kemal Çatmadaş Ortaöğrenim Erkek Öğrenci Yurdu,Özel Yurt,"38,466,944,278,891,600","27,134,547,706,127,200","Gümüşpala, 7000. Sk., 35510 Bayraklı/İzmir",02323654451,-,-,-
Özel Kemal Çatmadaş Ortaöğrenim Erkek Öğrenci Yurdu,Özel Yurt,"3,846,757,677,867,080","27,133,964,434,947,200","Gümüşpala, 7000. Sk., 35510 Bayraklı/İzmir",02323654451,83,-,-
"ÖZEL KESTANEPAZARI HATAY ORTA ÖĞRENİM ERKEK ÖĞRENCİ YURDU	",Özel Yurt,"3,840,248","2,709,958","ADNAN SÜVARİ MAH. 175/3 SOK. NO: 26 / KARABAĞLAR/İZMİR	",2322856506,286,-,-
"ÖZEL KESTANEPAZARI HATAY ORTAÖĞRETİM ERKEK ÖĞRENCİ YURDU	",Özel Yurt,"3,840,463","2,710,026","ADNAN SÜVARİ MAH. 175/3 SOK. NO: 26 / KARABAĞLAR/İZMİR	",02322856506,-,-,-
"ÖZEL MAKBULE AKKUŞ ORTAÖĞRETİM KIZ ÖĞRENCİ YURDU	",Özel Yurt,"3,838,283","2,711,812","GÜNALTAY MAH. 4830 SOK. NO: 6 / KARABAĞLAR/İZMİR	",(232) 264 14 21,-,-,-
"ÖZEL MAKBULE AKKUŞ ORTAÖĞRETİM KIZ ÖĞRENCİ YURDU	",Özel Yurt,"3,838,229","2,711,880","GÜNALTAY MAH. 4830 SOK. NO: 6 / KARABAĞLAR/İZMİR	",(232) 264 14 21,80,-,-
Özel Maya Yüksek Öğrenim Erkek Öğrenci Yurdu,Özel Yurt,"3,846,695,167,634,780","27,218,310,076,458,500",Ergene Mah. 554 Sok. No:32 Bornova/İzmir,0552 345 59 08,-,-,-
Özel Mehmet Sarıtaş Ortaöğretim Erkek Öğrenci Yurdu,Özel Yurt,"3,814,894","2,734,736","Muratbey, 3525. Sk. No:3, 35860 Torbalı/İzmir",0232 856 5352,48,-,-
Özel Mendegüme Ortaokul Erkek Öğrenci Yurdu,Özel Yurt,"380,114,036,607,194","27,993,806,438,277,500",Hamam Mah. Mendegüme Sok. No: 289 /1/ Ödemiş/İzmir,0 543 304 18 50,-,-,-
ÖZEL MENDERES ORTAÖĞRETİM ERKEK ÖĞRENCİ YURDU,Özel Yurt,"382,639,165,087,613","27,132,494,040,421",KEMALPAŞA MAH.153.SOKAK NO:6  /MENDERES/İZMİR,-,22,-,-
ÖZEL MERVE YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU,Özel Yurt,"38,404,794,391,610,700","27,100,971,068,774,000",ÇANKAYA MAH. 141 SOK. NO: 79 -1/ KONAK/İZMİR,0(232) 520 1253,65,-,-
ÖZEL MURAT EROĞLU ORTAÖĞRETİM ERKEK ÖĞRENCİ YURDU,Özel Yurt,"3,824,482","2,729,469","Fevzi Çakmak, İhlas Cd. No:80, 35870 Torbalı/İzmir",0 232 854 8500,-,-,-
"ÖZEL MURAT GÜZELYALI YÜKSEK ÖĞRETİM ERKEK ÖĞRENCİ YURDU	",Özel Yurt,"3,839,650","2,710,181","VATAN MAHALLESİ, 9200/1 SOKAK N0:15 KARABAĞLAR/İZMİR",2322437570,64,-,-
"ÖZEL NARLIDERE ÇAMLIK YÜKSEKÖĞRENİM ERKEK ÖĞRENCİ YURDU	",Özel Yurt,"3,839,911","2,701,448","ÇAMTEPE MAH. HÜRRİYET SOK. NO: 19 / NARLIDERE/İZMİR	",02322386174,-,-,-
ÖZEL ÖDEMİŞ ORTAÖĞRETİM KURUMLARI KIZ ÖĞRENCİ YURDU,Özel Yurt,"382,377,250,036,341","27,973,067,944,459,200",Kuvvetli Mah. 1.Kir Sok. No: 39 / Ödemiş/İzmir,0 541 336 0424,70,-,-
ÖZEL ÖZDERE ORTAOKUL ERKEK ÖĞRENCİ YURDU,Özel Yurt,"38,057,623,969,953,400","27,056,873,170,050,500","Orta, 1238. Sk. No:29, 35495 Menderes/İzmir",0 232 798 76 35,-,-,-
Özel Palmira Rezidans Yükseköğrenim Kız Öğrenci Yurdu,Özel Yurt,"3,837,528","2,718,029","Yıldız, No:, 199/6. Sk. No:10, 35390 Buca/İzmir", 0507 651 99 55,300,"75,000","100,000"
ÖZEL PAMUKÇU YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU,Özel Yurt,"38,405,495,561,654,400","271,144,111,810,691","Piri Reis, 298. Sk. No:5, 35280 Konak/İzmir",2322612633,37,-,-
ÖZEL Sehzade ORTAÖĞRETİM ERKEK ÖĞRENCİ YURDU,Özel Yurt,"3,839,060,494,119,990.00","27,180,698,890,551,000","MUSTAFA KEMAL MAH. 284/5 SOK. NO: 35 C/YOK BUCA/İZMİR
",(232) 275 56 96,83,"75,000","75,000"
Özel Sena Ortaöğretim Kız Öğrenci Yurdu,Özel Yurt,"382,363,862,302,727","27,975,644,972,135,600","İnönü, 706. Sk. No:1, 35750 Ödemiş/İzmir",0 232 545 52 70,96,-,-
Özel Seyran Orta Öğrenim Erkek Öğrenci Yurdu,Özel Yurt,"38,322,065,877,821,900","27,126,557,289,097,300","Irmak, 22. Sk., 35410 Gaziemir/İzmir",0(232) 251 33 10,43,-,-
"ÖZEL ŞEHİT BAHATTİN YILDIZ YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	",Özel Yurt,"3,840,334","2,711,194","ESENLİK MAH. 9056 SOK. NO: 8 / KARABAĞLAR/İZMİR	",(232) 231 00 01,-,-,-
Özel Şule Ortaöğretim Kız Öğrenci Yurdu,Özel Yurt,"3,815,837","2,735,817","Ertuğrul, 3075. Sk. No:6, 35860 Torbalı/İzmir",0232 855 6858,81,-,-
ÖZEL ŞULE YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU,Özel Yurt,"3,840,550,825,375,370","27,101,601,967,223,000","Çankaya, 141. Sk., 35280 Konak/İzmir",2322438970,57,-,-
"ÖZEL ŞULE YÜKSEL ŞENLER YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	",Özel Yurt,"3,839,706","2,707,460","ESENTEPE MAH. 74/2 SOK. NO: 5 / KARABAĞLAR/İZMİR	",(232) 246 20 02,-,-,-
ÖZEL ŞÜKRAN MELTEM YILMAZ ORTAOKUL KIZ ÖĞRENCİ YURDU,Özel Yurt,"3,827,207,836,446,620","28,187,902,999,325,100"," Kırköy, Zambak sokak no:3, 35890 Kiraz/İzmir",507 124 21 57,47,0,0
ÖZEL TUNAGÜR ORTA ÖĞRETİM KIZ ÖĞRENCİ YURDU,Özel Yurt,"38,257,560,850,371,500","27,130,275,517,225,100",KASIMPAŞA MAH.MEZARLIK SK.NO:18 MENDERES/İZMİR,0 232 782 33 82,36,-,-
"ÖZEL YALI YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	",Özel Yurt,"3,839,459","2,707,356","ÜÇKUYULAR MAH. 65/2 SOK. NO: 8 / KARABAĞLAR/İZMİR	",2322859044,50,-,-
"ÖZEL YAVUZ SELİM YÜKSEK ÖĞRETİM ERKEK ÖĞRENCİ YURDU	",Özel Yurt,"3,839,711","2,713,666",KARABAĞLAR MAH.5902.SK.NO.1 KARABAĞLAR/İZMİR,2322545252,60,-,-
"ÖZEL YEŞILYURT ORTA ÖĞRETİM ERKEK YURDU	",Özel Yurt,"3,839,835","2,710,713",MEVLANA CAD.NO:37 YEŞILYURT,2322317083,138,-,-
Özel Yeşil Tire Orta Öğrenim Erkek Öğrenci Yurdu,Vakıf,"380,995,250,437,193","27,724,653,732,191,100","Yeni Mah. Maltepe Cad. 12 Tire, İzmir",02325122195,56,ücretsiz,ücretsiz
Özel Yıldız Orta Öğretim Erkek Öğrenci Yurdu,Özel Yurt,"3,847,321,021,904,790","27,133,972,247,917,800",7075 SOKAK NO:14 GÜMÜŞPALA BAYRAKLI/İZMİR,2323825537,75,-,-
ÖZEL YUSUF DEMİREL ORTAÖĞRETİM ERKEK ÖĞRENCİ YURDU - KEMALPAŞA KÜLTÜR VARLIKLARINI ARAŞTIRMA GÜZELLEŞTİRME VE EĞİTİM DERNEĞİ,Özel Yurt,"3,843,448,383,670,250","27,416,149,433,487,300","Sekiz Eylül, 8 Eylül Öteyaka Sk. No:51, 35730 Kemalpaşa/İzmir",0232 878 02 09,88,-,-
Özel Yücel Yüksek Öğrenim Kız Ve Erkek Öğrenci Yurdu,Özel Yurt,"3,858,357,436,601,910","26,969,035,094,996,600","Gazi Mustafa Kemal, 4112/1 No:3, 35630 Menemen/İzmir",0 555 142 85 85,60,-,-
ÖZEL ZÜMRÜT KIRAZ ORTAÖĞRETİM KIZ ÖĞRENCİ PANSİYONU,Özel Yurt,"3,843,362,802,237,000","27,406,186,710,426,000",SEKİZ EYLÜL MAH. 103/1 SOK. NO: 7 / KEMALPAŞA/İZMİR,0232 878 16 01,18,-,-
Sevgiyle Yükseköğretim Kız Öğrenci Yurdu,Özel Yurt,"382,733","271,203","Kazımdirik Mah. 229 Sok. No: 7, Bornova/İzmir",(232) 347 47 67,140,-,-
SİM KIZ ÖGRENCİ YURDU,Özel Yurt,"3,837,375","2,718,112","Yıldız, 206/40. Sk. No:24, 35222 Buca/İzmir", 0534 203 83 82,200,"65,000","85,000"
TİRE - ÖZEL BUĞDAYDEDE ORTAÖĞRETİM ERKEK ÖĞRENCİ YURDU,Özel Yurt,"3,809,961","2,772,794",YENİ MAHALLE TURGUT REİS CADDESİ NO/15/TİRE,0232 511 5653,108,-,-
"TİRE - ÖZEL YEŞİL TİRE ORTA ÖĞRETİM ERKEK ÖĞRENCİ YURDU	35 D ",Özel Yurt,"3,810,015","2,772,456",ATATÜRK MAHALLESİ MALTEPE MEVKII NO.12 Tire/İzmir,0 232 512 21,56,-,-
Tire KYK Öğrenci Yurdu,KYK,"38,097,498,176,601,700","27,735,312,789,863,700",Adnan Menderes Mah. Billur Sok. No:5 Tire/ İzmir,02322902442,300,230,490
Toki Bayraklı Kyk Kız Yurdu,KYK,"3,849,268,486,713,670","2,717,758,410,697,580",REFİK ŞEVKET İNCE MAH. 1925 SOK 124 BAYRAKLI TOKİ 8. ETAP 1. KISIM BAYRAKLI/İZMİR,02322559196,-,345,570
TÜGVA İzmir Ege Panorama Yükseköğretim Erkek Öğrenci Yurdu,Özel Yurt,"38,472,289,310,582,200","27,245,399,362,890,100",Evka3 Mah. 108/5 Sok. No:1 Bornova/ İZMİR,0505 187 69 28,121,-,-
Türkiye Gençlik Vakfı Ege Panaroma Yükseköğretim Erkek ,Özel Yurt,"382,805","271,437","Evka 3 Mah. 108/5 Sok. No: 1, Bornova/İzmir",(232) 375 15 65,41,-,-
Türkiye Gençlik Vakfı Şehit Fethi Sekin Yükseköğretim Erkek ,Özel Yurt,"382,628","271,106","Kazımdirik Mah. 5003 Sok. No: 39, Bornova/İzmir",(232) 435 72 78,108,-,-
Urla Latife Hanım Kız Yurdu,KYK,38325014,26635465,"Gülbahçe, 35433 Urla/İzmir",(0232) 765 9225,456,375,650
Üniyurt İYTE,Özel Yurt,"38,314,920","26,639,037","Gülbahçe Mahallesi Gülbahçe Caddesi, 5. Sokak 1/38, 35433 Urla/İzmir",2327658444,600,8000,12000
Vilayetler Hizmet Birliği Orta Öğretim Öğrenci Yurdu,Vakıf,"3,832,643,903,102,400","26,317,898,610,743,600","İsmet İnönü, 2091. Sk., 35930 Çeşme/İzmir",-,-,-,-
yasar universitesi ogrenci yurdu,Özel Yurt,"3,845,104,211,308,740","272,041,027,357,291","mah, 367/2 sokak no : 9/2 kazim dirik, 35100 bornova/izmir
",0232 570 80 20,-,-,-
Yasemin Kız Öğrenci Yurdu,Özel Yurt,38.46608434,27.21832107,"Kazımdirik, 6, 150. Sk., 35100 Bornova/İzmir",(0232) 373 29 00,-,-,-
yasemin kiz ogrenci yurdu,Özel Yurt,"3,846,557,191,245,950","27,218,932,616,678,100","kazimdirik, 6, 150. sk., 35100 bornova/izmir
",0232 373 29 00,-,-,-
Yelken Yüksek Öğretim Erkek Öğrenci Yurdu,Özel Yurt,"382,703","271,357","Mevlana Mah. 1776 Sok. No: 50, Bornova/İzmir",(232) 388 67 68,35,-,-
yuksek ogrenim kredi ve yurtlar kurumu bornova ogrenci yurdu,KYK,"3,845,071,164,006,070","27,231,636,886,508,400","mevlana, 1744. sk. no:1, 35050 bornova/izmir
",-,149,-,-
Yusuf Demirel Orta Öğrenim Erkek Öğrenci Yurdu,Özel Yurt,"38,433,654,311,875,100","27,416,110,493,175,700","Sekiz Eylül, 8 Eylül Öteyaka Sk. No:51, 35730 Kemalpaşa/İzmir",0232 878 02 09,88,-,-
Zehra Kız Öğrenci Yurdu,Özel Yurt,"38,090,011,447,279,500","27,737,757,455,587,900","Kurtuluş, 23 Nisan Cad. No:12, 35900 Tire/İzmir",02325110541,-,-,-
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
