Yurt ismi,Statüsü,Enlem Koordinatı,Boylam Koordinatı,Açık Adres,Telefon Numarası,Kapasitesi,Minimum Ücret,Maksimum Ücret
BUCA - ÖZEL AYLİN YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU,Özel Yurt,"3,838,463,916,403,590","27,172,981,434,898,300","ADATEPE MAH. 8/5 SOKAK NO:11 BUCA/İZMİR
",0(232)4401919,45,-,-
BUCA - ÖZEL BEYLER YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU,Özel Yurt,"38,377,608","27,181,937",ATATÜRK MAH. 202/35 SOK. NO:41 BUCA/İZMİR, 0507 760 09 27,60,-,-
BUCA - ÖZEL BINSAR YÜKSEK ÖĞRETİM  KIZ  ÖĞRENCİ YURDU,Özel Yurt,"38,370,068","27,195,288",TINAZTEPE MAH.DOĞUŞ CAD.NO:206-BUCA / İZMİR,-,32,-,-
BUCA - ÖZEL BUCA YILDIZ YÜKSEK ÖĞRETİM ERKEK ÖĞRENCİ YURDU,Özel Yurt,"38,367,754","27,180,568",BUCA KOOP MAHALLESİ 1417 SOKAK NO:5 BUCA/İZMİR,(0232) 454 25 95,96,-,-
BUCA - ÖZEL BURÇ YÜKSEK ÖĞRETİM ERKEK  ÖĞRENCİ YURDU,Özel Yurt,"38,375,729","27,187,832",ATATÜRK MAH.201.SOKAK NO.25 BUCA / İZMİR,2324534748,300,-,-
BUCA - ÖZEL CANSIN YÜKSEKÖĞRENİM YURDU,Özel Yurt,"38,377,019","27,186,331","Atatürk, 202/44. Sk. 1 A Blok B Blok, 35390 Buca/İzmir",2324538285,179,-,-
BUCA - ÖZEL ÇAĞDAŞ YÜKSEK ÖĞRETİM KIZ ÖĞRENCİ YURDU,Özel Yurt,"38,385,312","27,172,231","Dumlupınar, Barış Manço Kültür Sk. No: 13, 35400 Buca/İzmir",2324406248,21,-,-
BUCA - ÖZEL ÇAĞLI YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU,Özel Yurt,"38,369,039","27,196,103","Kuruçeşme, Doğuş Cd. No:222, 35390 Buca/İzmir",2324542000,72,-,-
BUCA - ÖZEL ÇEŞME YÜKSEK ÖĞRETİM ERKEK ÖĞRENCİ YURDU,Özel Yurt,"38,380,118","27,180,062","Atatürk, 63/7. Sk. No:1, 35390 Buca/İzmir",2324409622,195,-,-
BUCA - ÖZEL DENİZ ORTAÖĞRETİM KIZ ÖĞRENCİ YURDU,Özel Yurt,"38,362,472","27,144,778","Göksu, 668/5. Sk. No: 14, 35380 Buca/İzmir",2322757612,72,-,-
BUCA - ÖZEL Kampüs Öğrenci Yurdu,Özel Yurt,"3,836,551,602,376,560.00","2,719,832,647,650,760","Kuruçeşme, 205/59. Sk., 35390 Buca/İzmir",0(232) 453 06 46,108,"70,000","90,000"
BUCA - ÖZEL PAPATYA  KIZ ÖĞRENCİ YURDU,Özel Yurt,"38,385,167","27,177,278","Dumlupınar, 68. Sk. 2-10, 35400 Buca/İzmir",2324424878,-,-,-
BUCA YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU,Vakıf,"3,837,980","2,716,500",Yenigün Mah. Nazım Hikmet Cad. No: 40 Buca/İzmir/Türkiye,0501 700 92 99,126,"25,000","30,000"
CANSIN YÜKSEKÖĞRENİM YURDU,Özel Yurt,"3,836,953","2,719,604","Kuruçeşme, Doğuş Cd. NO:228 - 230, 35390 Buca/İzmir",0 232 420 06 53,179,-,-
CİHANNÜME KYK KIZ ÖĞRENCİ YURDU,KYK,"3,851,364,002,760,430","27,032,822,264,066,700",Balatçık Mahallesi 8914/10 Sok. No:1 Çiğli İZMİR Çiğli / İzmir,(0232) 329 9420,-,-,-
Çakabey Kyk Erkek Öğrenci Yurdu,KYK,"3,836,933,550,284,440","2,718,782,800,513,990","No:1/ 35390 1405. Sokak Buca Kooperatifi Mahallesi, 35370 Buca/İzmir",02324532424,1415,510(Aylık),570(Aylık)
Çakırağa Erkek Öğrenci Yurdu,Özel Yurt,"38,234,513,467,090,700","27,971,331,006,836,600","Bengisu, Hakkı Paşa Çıkmazı No:1, 35750 Ödemiş/İzmir",02325451872,48,-,-
Çamlıca Kız Öğrenci Yurdu,Özel Yurt,"38,330,040,173,683,400","27,114,790,198,235,200","Irmak Mh, 819. Sk No:6, 35410 Gaziemir/İzmir",-,-,-,-
Çamlıca Öğrenci Yurdu,Özel Yurt,"3,832,937,839,885,800","27,114,730,946,842,200","Zafer, 800. Sk. No:2, 35410 Gaziemir/İzmir",-,-,-,-
Çeşme KYK Öğrenci Yurdu,KYK,"3,836,579,453,094,710","26,289,826,906,225,700","Cumhuriyet, 4320. Sk. No:7, 35930 Çeşme/İzmir",0(232) 724 92 76,184,345,570
ÇİĞLİ MODERN KIZ REZİDANCE,Özel Yurt,"3,851,377,107,660,130","27,044,337,319,473,900","8786. Sk. 83, Küçük Çiğli, 35620 Çiğli/İzmir",(0541) 156 1235,100,-,-
